  | Kanji | Meanings | Pronunciations | Radicals | Mnemonic 
# | 救 | Rescue | きゅう ; すく | Request + Winter | You request that winter rescue you from the warmth of the other seasons. It's so hot. You hate it. You really hope winter will get your request and come early to rescue you. You get a note in the mail from winter! This is it, you're going to be rescued! You open the note and it says, "I have rescued you with this cucumber (きゅう)." A cucumber falls out of the note. This cucumber is supposed to be cool and refreshing enough to rescue you from the heat. I guess it was too much to expect winter to come early just for you. At least cucumbers are yummy.
# | 似 | Resemble | に ; じ | Leader + Lion + Drop + Person | A leader of (odd-looking) lions puts a drop of magic liquid on his face to look like a person resembles someone else. The leader of lions is going incognito, so he needs to resemble a person who is not himself. He takes this drop of powerful face paint and transforms. Watch this leader as the transformation takes place. Now he doesn’t resemble anything like the leader he used to be. He doesn’t look like the same person. Watch him morph in your head. Now he resembles an even greater leader, and all the lions get down on one knee (に) to pay their respects. (Note that we recently changed this kanji's main reading from ね to に, because ね is an irregular reading.) See all the odd-looking lions respectfully getting down on one knee? They look even odder now.
# | 富 | Rich | ふ ; と, とみ | Roof + Scarecrow | On your roof is a scarecrow because you're rich. You want to scare away all the poor, non-rich people so you put a scarecrow on your roof. Imagine looking up at the roof at this scarecrow. There's a sign around its neck that says, "Rich people welcome." Ah, you're safe. Time to go to bed! You wake up the next morning and all of your riches have been stolen! You call the police and they call you a fool (ふ)! Pardon me?! "You basically put an advertisement on your roof telling everyone you're rich. Of course you got robbed, you fool." You poor sad, no longer rich fool.
# | 散 | Scatter | さん ; ち | Blackjack + Moon + Winter | If you play blackjack on the moon in the winter, your cards will scatter everywhere. The cards scatter because the gravity is so weak on the moon, so the blackjack game is prone to disaster. Imagine playing blackjack on the moon where even the slightest move causes the cards to scatter about. Watch them float along. It’s very frustrating to play this way. You are playing blackjack with Santa-san (さん). Santa-san is doing his best to use his Christmas magic to prevent the scatter of cards, but it’s not working out so well. Good effort, Santa-san. Imagine yourself next to Santa-san as he tries to prevent the cards from scattering. Look at the expression of concentration on Santa-san’s face as he tries to prevent the scatter.
# | 華 | Showy, Flower, Gorgeous | か ; はな | Flowers + Rice Paddy + Cross | Flowers growing out of a rice paddy into the shape of a cross are really showy flowers. Picture these showy flowers growing straight up and out of the middle of the rice paddy, into the shape of a giant cross. These flowers are too showy. You hate them. You hate these showy flowers so much you run them over with your car (か)! Imagine how the car feels as you ram into the showy flowers. The petals explode and rain everywhere. You turn on your windshield wipers to push them away.
# | 嘆 | Sigh | たん ; なげ | Mouth + Chinese | You use your mouth when you see a Chinese person and you sigh. You sigh so loud that it’s practically a roar coming out of your mouth. Chinese people and Chinese things make you sigh because it reminds you of when you stayed in China and it brings up memories. The sigh is a sigh of nostalgia. Let out a long sigh as you recall memories from China and all the Chinese things you saw and did. Oh, sigh. Your favorite Chinese thing to do is tan (たん). You can wander around without your shirt on and tan all day. No one will sigh or scoff at you, it’s perfectly acceptable. The Chinese just love to get their tan on. Sigh again as you remember how nice it was to tan everywhere. Picture yourself wandering around some Chinese streets with your shirt off as you soak in the rays and get a tan.
# | 偵 | Spy | てい | Leader + Toe + Shellfish | Your leader sticks his toe into a shellfish. You ask him why and he says he wants to spy on it. There’s a hidden camera on his toe and the leader wants to have plenty of secret spy footage to review later. You and the leader review the spy footage and find a single tater (てい) tot hidden within the shellfish. Together you uncover a huge smuggling ring. Clams, oysters, mussels, you name it! Shellfish of all kinds are using their bodies to sneak tater tots to the undersea world. If it wasn't for your toe spy network, these egregious tater tot crimes would have never reached the light of day.
# | 驚 | Surprised | きょう ; おどろ | Poem + Winter + Horse | If you can write an interesting poem about winter while riding on a horse, I’ll be pretty surprised. It’s hard enough to write a poem as it is, let alone an interesting one. And then you’re riding on a horse and the poem has to be about winter? Heck, I’d be surprised if you didn’t fall off the horse and injure yourself. Imagine trying to write a poem while riding a horse. It’d be really hard to do. I bet you’d be surprised if you managed to do it as well. You might also be surprised to learn that you are to ride this horse all across きょうと. That gives you a time limit. You have until you traverse きょうと to write this poem about winter. Imagine riding through きょうと on a horse. As if that wasn’t difficult enough for poem writing, now you have all the sights and sounds of きょうと to distract you as well.
# | 掃 | Sweep | そう ; は | Fingers + Wolverine + Forehead + Towel | Wolverine ties a towel around his forehead and takes out his fingers instead of his claws so he can sweep the floor clean. When Wolverine fights, his claws are out and he makes a big ol' mess. But once the fighting is done, it's time to get to work and sweep the mess up. Picture Wolverine, hair held back with a towel, claws retracted, sweeping up a bar that he just had a big fight in. He's sweeping up broken bottles and broken chairs and broken evil x-men. Wolverine knows that sweeping is good for the soul (そう). Plus, if you don't help clean up after you defeat bad guys, you're just as bad as them. Sweeping up the mess cleans your soul of any guilt too! Sweeping is good for the soul. Sweeping is good for the soul. Sweeping is like chicken soup for the soul.
# | 菜 | Vegetable | さい ; な | Flowers + Cleat + Tree | You want some flowers so you take your cleat to the side of a tree hoping they'll fall down, but you get a vegetable instead. What? You kick the tree again and another, different vegetable falls out. Now you have two vegetables and no flowers. Do vegetables even grow on trees? You feed these vegetables (that you didn't even want) to your cyborg (さい). It only needs a little though, since its stomach is so thin, so you just make it hold the rest. Picture your cyborg nibbling on the vegetables you cleat-kicked out of this tree. You give all of the things you don't like to your cyborg nowadays. Which is probably why there are so many weird things all over it...
# | 脈 | Vein | みゃく | Moon + Cliff + Tofu | Under the moon while you sit on a cliff, you inject a syringe of tofu right into your vein. Ahh, tofu. You're addicted to it. You sneak out to the cliff at night to get your tofu fix, injecting it straight into your vein. Feel the tofu running through your veins. Feel the tofu goodness spreading all over your body. It's so intense you can even taste a little tofu in your mouth. Eventually, your friends and family find you at the cliff, tripping on tofu. Each and every vein on your body is engorged, pulsating with the effects of tofu. Your friends try and take you home. "You cyan't myake (みゃく) me!" you slur, suffering from the effects of the tofu. "None of you cyan myake me go home! You cyan’t myake me! Nyah!" Say this out loud, it'll help you remember. Really focus on the "myake" be sure to say it like you're all bugged out from tofu overdose.
# | 徳 | Virtue | とく | Loiter + Cross + Net + Heart | You're loitering, staring down at the cross that got caught in the net of your heart, because it's trying to teach you to act with virtue. People who keep the cross in their hearts are supposed to be full of virtue, always doing the right thing, always helping others. But you aren't sure if you want to be virtuous, it's a lot of responsibility. So you look down at this symbolic cross and loiter instead of making a decision. As you try to decide if you want to live a life of virtue the ghost of Tokugawa (とく) Ieyasu appears before you. He points to your heart and the cross, then points to his own and you see a glowing cross in his own. I don't know about you, but I'm pretty sure Tokugawa Ieyasu is telling you to choose a life of virtue.
# | 倉 | Warehouse | そう ; くら | Warehouse | The warehouse radical and the warehouse kanji are the same! Know your radicals, yo! You have a warehouse to store all of your souls (そう). When people or animals you know pass away, you take their souls and store them in your dry warehouse for safekeeping. It's a public service, really. Imagine if you kept a bunch of souls in a warehouse. This way they can't haunt anyone. And they can't get lost out in the spirit world. The warehouse is best for them.
# | 酸 | Acid | さん ; す | Alcohol + Spider | Mix spiders into alcohol to make acid. Spiders have a little bit in them already, but if you really want to make it potent, smash them in some whiskey to make a deadly acid that will rip through anything. Imagine crushing up some spiders into alcohol. Watch it turn green. It's going to eat through the beaker! Quick, do something! You're trying to find a container for this acid when Santa-san (さん) bursts through your wall. He frowns down at you. You're on the naughty list now. You killed spiders AND made dangerous acid? Ooooh you're in trouble. It’s Christmas morning. Instead of gifts, Santa-san just throws a piece of charcoal at your face. Feel the charcoal smash into your face and explode into acid, burning you. Santa-san runs away laughing. Ho ho ho!
# | 賛 | Agree | さん | Husband + Shellfish | A husband and his husband find a shellfish and agree to share it. Picture the husbands pulling a different side of the shellfish, it pops in two, and they each get a shell. They smile and high five. Since the husbands were able to agree, Santa-san (さん) believes they’re both good husbands and belong on the good list. Therefore, Santa-san gives them each lots and lots of shellfish for Christmas. Imagine Santa-san flying over the husbands in his sleigh, raining shellfish down upon them from the sky. It warms the heart, wouldn’t you agree?
# | 祖 | Ancestor | そ | Spirit + Top Hat | You come across a spirit wearing a top hat and it claims to be your ancestor. Well of course, if you remember correctly, all of your ancestors wore top hats when they were alive. This spirit must be your long lost, great great... uh... somebody. Imagine coming across your long dead top hatted ancestor in spirit form. What would you do? What would you say? You ask your ancestor what it wants and it points to the soap (そ) by the sink. Soap? It nods at you. I guess your ancestor is here to see the wonders of soap. Your ancestor didn't come here to see you, it just wanted to learn about soap. Something that they didn't have back when it was alive. That's actually kinda sad... and stinky. Your ancestor needs to use this soap, if anything.
# | 銭 | Coin | せん ; ぜに | Gold + Bar | To use your gold at the bar you need to turn it into a coin. Well, more than one coin, probably. But you know for sure that you can make at least one coin out of the gold you have. Imagine yourself strenuously pushing a lever to flatten your gold and punch a coin out it. You sweat as you hurry to make enough coins so you can go to the bar before it closes. You use the coin to pay a centaur (せん) at the bar. The centaur is the bartender and he makes special drinks for those who pay in gold coins. Good for you! Imagine handing this centaur bartender your gold coins. Hear him thank you in his booming voice and make you a mysterious gold-colored drink. Look in wonder at how the centaur has managed to fit in the narrow space behind the bar counter.
# | 衛 | Defense | えい | Go + Korea | If you want to go to Korea you'll need a good defense. Things in Korea haven't been on the safest side lately, so make sure you have some ways to defend yourself before you go. You need a good defense to go to Korea, so you fill your pockets with acorns (えい). When you get to Korea you plant them all around yourself. In no time you'll have a strong tree defense, keeping you safe. Okay, so maybe this defense strategy will take a while, but you aren't rich and acorns are on the ground for free. Don't judge!
# | 机 | Desk | つくえ ; き | Tree + Table | A tree combines with a table to make a desk. When you think about it, a desk is just a table with more stuff. To make this more stuff, like drawers and such, you need more wood, and wood comes from trees. Add materials from the tree to the table and you have a desk. Chop this tree into pieces to transform this table into a desk. Hear the sounds of construction in your head as you make this desk with your bare hands. When you finish the desk you turn to your friend and say, “It’s cool, eh (つくえ)?” Your friend looks at you and says, “S’coo’ eh? What?” “This desk, it’s cool. It’s cool, eh?” “Aw, yeah man. S’coo’ eh.” Another way to remember this reading is to think about where you find lots of desks. That's right, in a school (つくえ). Just imagine someone slurring “It’s cool, eh?” While you think about how cool this desk really is. Run your hands over the finished project as you say it.
# | 汚 | Dirty | お ; よご, きたな, けが | Tsunami + Two + Prison | A tsunami hit not one, but TWO prisons, making them extremely dirty. Imagine observing the two prisons being hit by a giant wave of muddy water, making them completely dirty. How disgusting! What's the most dirty are the prisons' obi (お) collections. You can hear the prisoners crying, "Oh, not the obi. Our obi are all dirty, oh no!" The obi were the only nice thing the prisoners had left, and now they're all dirty. Even as you leave the prisons, you can still hear their echoing cries of "Oh, not our obi!"
# | 飼 | Domesticate | か ; し | Eat + Director | You eat part of a director to domesticate him. This director has been going around kicking cameramen and punching actors and it’s really ruining his reputation. You need to domesticate him. The only way to do this is to shock him into submission. His ego is so big from two blockbusters that you have to eat part of him to get him to calm down. Which part of the director did you choose to eat in order to domesticate him? Think about eating that part of the director and imagine its taste in your mouth as you chew. Eww. While you did succeed in your attempt to domesticate the director, he is now bleeding profusely from the bite wound. All over the script! You gotta get your car (か) and drive him to the hospital like right away. Get to the car! Hurry! You’re proud that you managed to domesticate the director, but now you feel kind of bad for having injured him. Okay, you really just feel bad because he’s probably going to sue you and he definitely has a lot of money. Oh, and he’s bleeding all over your car.
# | 複 | Duplicate | ふく | Spirit + Black Hole | Put a spirit in a black hole and a duplicate comes out. The duplicate looks exactly like the original spirit that went in. How strange. Examine the duplicate spirit. Same ghosty body. Same ghosty glow. A perfect copy. Suddenly the duplicate spirit starts yelling, "Why did you throw me into that black hole?! F*** (ふく) you!" You feel pretty bad now. The duplicate spirit seems to have decided to haunt you, and it's muttering "F*** you, f*** you," over and over in your ear.
# | 染 | Dye | せん ; しみ, そ, し | Tsunami + Nine + Tree | A tsunami runs into nine trees and produces a dye the color of the forest. The tsunami water mixes with each tree, nine of them actually, and the resulting liquid is a forest green dye. Imagine this happening in front of you. See the tsunami turn from the color of water to the color of a forest. The dye washes over you and now you’re forest green as well. The dye continues to pass through the forest and hits a group of centaurs (せん). Now each centaur is dyed with the forest green dye. They don’t look happy. Hear each centaur shouting about how he hates that dye for changing his color. They look kind of funny, so you laugh at them a bit, but not too loud – they might hear you and get even more angry.
# | 卵 | Egg | たまご ; らん | Pool | Two pools, both altered and not quite like a pool you’ve seen before are put together and flipped around – this is an egg. One pool is the egg white, the other pool is the egg yolk. They’re different, but similar. Separate the two pools from one another. Now the pools look like the kanji. The kanji is one white pool and one yellow pool. Neat, huh? You remember Tamagotchi (たまご), right? Well, Tamagotchi is an egg, and the toy looks like an egg, so it’s pretty easy to remember that tamago means egg. Just think Tamagotchi whenever you see this kanji. Tamagotchi = tamago = egg. Easy!
# | 永 | Eternity | えい | Eternity | The eternity radical and the eternity kanji are the same! Know your radicals, yo! How long is an eternity? Just look at this little acorn (えい) and ask. The acorn starts small but it grows into a huge tree and can live for all eternity by dropping more acorns to create more trees. Its acorn line will live on forever! It's the miracle of eternal life!
# | 績 | Exploits | せき | Thread + Blame | Taking a piece of thread you blame the exploits of your past on poor judgment. You tie this thread around your finger to remind you of all the exploits you accomplished in your day. Most of them weren’t actually on purpose, so you blame them on poor judgment and accident. Think up what exploits you accomplished. What sort of things might you have done, but not quite on purpose? Think about how it feels to be exalted for such exploits that were but mere accidents. One of your exploits was when you got dressed in the dark and were wearing funny clothes and everyone thought that it was sexy (せき). The newspapers and fashion agencies couldn’t get enough of your sexy style. Imagine setting this sexy fashion trend on accident. Imagine what you were wearing when you got dressed in the dark. Probably a pretty strange, mismatched outfit.
# | 眼 | Eyeball | がん ; め | Eye + Root | The eye's root is the eyeball. Go ahead and feel your eyeballs moving around in your head. Your eyes aren't just the part on the surface, they're the whole balls in there, attached at the root. You know who has some pretty good eyeballs? Gandhi (がん). Gandhi used his eyes to see the oppression around him and decided to do something about it. But it's all thanks to his eyeballs. Look at Gandhi’s eyeball with your eyeball. It's pretty remarkable.
# | 液 | Fluid, Liquid | えき | Tsunami + Night | A tsunami that hits at night leaves even more fluid than normal. It's dark at night, so the sun isn't there to help evaporate all that tsunami liquid. Picture the dark fluids from the tsunami flowing by your window at night. You look out and the liquid is shining in the moonlight. It looks like an entire sea is out there! This fluid stays in the 駅 (えき) longer than anywhere else. All of those tsunami liquids pour deep inside the 駅 late at night and the sun still can't reach them to help evaporate them during the day. It's a real *night*mare. Picture the 駅 filled to the brim with fluids and liquids. Maybe if you swim, you'll be able to catch your train.
# | 採 | Gather | さい ; と | Fingers + Cleat + Tree | Take your fingers and dig the tree bits out of this cleat to gather it into evidence. Gather it in a pile or a bag, just make sure it's all in one place so you can take a closer look later. Picture your fingers really getting in there to gather the tree pieces from out of this cleat. Some of the tree bits are stabbing under your fingernails, but you have to keep gathering them, don't stop now! You gather them all together and realize there are cyborg (さい) parts mixed in with the tree bits. Uh oh, it's as you feared. Your cyborg definitely got into trouble somewhere around here and you walked all over it with your cleats. Gather all of these cyborg bits so you can find it and reattach them later.
# | 志 | Intention, Ambition | し ; こころざし | Samurai + Heart | If you look inside a samurai's heart, you'll discover their true intentions and ambitions. If you're facing down a samurai, it's pretty important for you to be able to understand their intentions. Not all samurai are good, you know. You try to read the intentions of the samurai in front of you and they're dark, evil, scary. Oh no! These are the intentions of the sheep (し) samurai! The sheep samurai only has violent intentions for other samurai and sheep. Its heart is dark and surprisingly easy to read.
# | 興 | Interest | きょう, こう | Comb + Same + Ground + Fins | There’s a comb and what looks like the same comb, and you found them on the ground next to some fins you showed interest in. At first, the shiny fins on the ground caught your interest, but once you got closer to the fins you also noticed a pair of combs that are interesting too. Pick up these fins and the two combs. Feel their weight in each hand as you examine them with interest. Smell the fish smell and feel the teeth on the combs. Since the combs interest you more than the fins, you examine the combs more closely. Taking interest in where they were made, you discover they were made in きょうと. Dang, きょうと sure does make some nice combs. You've always had an interest in きょうと, so it makes sense that you'd be interested in things from きょうと too.
# | 込 | Into, Included | こ | Scooter + Enter | If you get on your scooter and enter somewhere, you’re going into that place. Really focus on going "into" wherever this is. Into the place you go. Right into it. Once you’ve gone into this place, what do you see? Your 子 (こ)! How did your 子 get into here? Your 子 really gets into everywhere. They get into all kinds of places, and they get into all kinds of trouble!
# | 恩 | Kindness | おん | Mouth + Big + Heart | If you have a big mouth but a good heart, people will recognize your kindness. Even if you blabber on with your big mouth, as long as everyone knows that your heart is filled with kindness, they will love and accept you. Share your kindness with the world. Use your big mouth to let people know what you’re doing. “I’M TAKING OUT THE TRASH AND NOBODY EVEN ASKED ME!” Y’know, that sort of thing. Go ahead and say that out loud a few times. To further show your kindness, you chop up some onions (おん) for a friend who always cries when they chop onions. The onions make you cry too, so it’s a nice act of kindness that you’re toughing it out for your pal. Imagine chopping up these onions. Smell the onion smell in the air as your eyes begin to sting from the onions. Your friend had better appreciate this kindness.
# | 久 | Long Time | きゅう, く ; ひさ | Slide + Enter | If you use a slide to enter a building, you'll be sliding for a long time. Imagine a never-ending slide that goes deep down inside a building. You can't see anything in the dark around you, you just plunge down and slide forever. And forever is a long time, my friend. You slide for such a long time that you get hungry. Luckily, once in a while a cucumber (きゅう) comes tumbling down the slide next to you. Cucumbers are tasty, but not when you've been eating them for a long time.
# | 党 | Party, Group | とう | Viking + Older Brother | A Viking and his older brother join a party. They can raid and pillage better in a group like this, so it makes sense that the Viking and his older brother would join a group with other Vikings. Look at this big group that contains the Viking and his older brother. Hear them shouting as a group and imagine their Viking battle cry. This party has decided to raid とうきょう. It’s a large undertaking, but they have a large group of Vikings on the job. とうきょう doesn’t stand a chance. Imagine this group of Vikings rampaging through とうきょう. See all the Japanese people running away and screaming as the group of Vikings comes busting in, swinging their axes and shouting loudly.
# | 序 | Preface | じょ ; つい, ついで | Canopy + Beforehand | If the canopy comes beforehand, it's a preface for the rest of the canopy. Although not necessarily a book preface, you can imagine a book made out of canvas pages. The canvas pages that came beforehand (i.e. in the beginning, before the book started) is the preface. You read the preface. It just goes on and on and on about Jo-Anne (じょ), a short lady the author loves very much. Actually imagine reading through the preface of your favorite book. Except, there's a preface that just goes into great detail about Jo-Anne and doesn't seem related at all to the book.
# | 雑 | Random, Miscellaneous | ざつ, ぞう | Nine + Tree + Turkey | You count nine of them in the tree, each turkey holding something random or miscellaneous. There are nine turkeys in the tree and they’re all holding random, miscellaneous things. How odd. Look at the turkeys in the tree. There are nine of them and they are all gobbling up a storm. Hear them gobble as you imagine what random, miscellaneous things they are holding. As if things couldn’t get any more random, Zazu (ざつ) from the Lion King flies into the tree and starts asking the nine turkeys miscellaneous trivia. Zazu always did have a thirst for knowledge, but this is kind of strange. Look at Zazu asking the turkeys random questions about miscellaneous trivia. You’ve seen the Lion King, right? Zazu should be pretty easy to visualize here.
# | 桜 | Sakura, Cherry Tree, Cherry Blossom | さくら ; おう, よう | Tree + Grass + Woman | Under a tree sitting on the grass is a woman who loves sakura, or cherry tree, if you’re an English speaker. This woman really likes to just chill out in the grass under these cherry trees and watch the sakura blossoms. It’s very pretty. Imagine yourself sitting under the tree in the grass with the woman. Smell the cherries and see the sakura blossoms falling down all around you. How whimsical. How do you say cherry tree in Japanese? Sakura (さくら). Sakura is Japanese for cherry tree. I’m sure you’ve probably heard this before, so it shouldn’t be too hard to remember. Sakura means cherry tree and sakura is the way to pronounce this kanji. Easy!
# | 密 | Secrecy | みつ ; ひそ | Roof + Certain + Mountain | Standing on your roof, you're certain that the nearby mountain is shrouded in secrecy. But you can't do much about it, stuck on your roof as you are. So much secrecy, but so far away. Really feel the frustration of wanting to uncover all the secrecy around this mountain but being stuck on your stupid roof. This secrecy is so secret that the people who know about it wear magical mitts (みつ) of secrecy that make it so we can't tell anyone, no matter what. You can imagine trying to break one of the mitts-wearing members of this group, but they can't tell you anything because of their magical mitts.
# | 秘 | Secret | ひ ; ひ | Grain + Certain | A grain is certain to keep a secret. Imagine telling a piece of grain your deepest, darkest secret. If someone finds out your secret (not from the grain though, it will certainly keep it) then your entire face will fill with heat (ひ). This works both ways too. If someone tells you a secret, that same heat fills you up. Now whether this heat is from embarrassment or the rush of getting to be part of a secret is up to you to figure out.
# | 厳 | Strict | げん, ごん ; きび, おごそ | Grass + Cliff + Elf + Winter | If you see a grassy cliff with an elf under it in winter, it's because their parents are so strict. When elf kids misbehave they're supposed to go stand under grassy cliffs to think about what they've done. Only really, really strict parents would make their kids do that in the middle of winter! It's cold! One of the strict parents of this elf kid is... Genji (げん)?! Looks like he had another illegitimate kid... this time with an elf. Oh Genji, if only you were as strict about using protection as you were on your elf child.
# | 捨 | Throw Away | す ; しゃ | Fingers + Cottage | When you're at your cottage the only thing you do with your fingers is throw away things. The cottage is for vacation. And vacation means being as lazy as possible. But you certainly don't want to live in filth, so you have to throw away your trash at least. Imagine sitting in your cottage. You throw away a banana peel. You throw away some used suntan lotion. You throw away all your cares in the world. The number one thing you throw away while in your cottage is your suit (す). Suits just don't fit the cottage life vibe, man. Just throw away all your suits when you want to relax. Don't worry about needing one some day, throw it awaaaay!
# | 訳 | Translation, Reason | やく ; わけ | Say + Shrimp | They say a shrimp who is bad with translation has no reason to live. Most shrimp make a living with their translation skills. They are the translators of the ocean. If they don’t know how to say something in all the languages of the sea, they have no reason to live. They might as well be dead. Imagine this one shrimp who is bad at translation. He’s trying to find a reason to live, but he’s having trouble. Look at him all alone, being shunned by the other shrimp. The translation this shrimp failed to make was for the word “yak” (やく). The shrimp found no reason to translate yak because there are no yak in the sea and then the shrimp just started questioning everything in his life and fell apart. The translation of the word yak was the reason this shrimp fell into despair and gave up the translation profession. Now everyone hates him. See this poor shrimp being harassed by others while they shout at him, “Yak! Yak! Yak!”
# | 欲 | Want | よく ; ほ | Valley + Lack | In the valley you feel a lack of want. You want for nothing in this valley. It is the valley of plenty. Think of how much you want to be in this valley. They have everything in there. You lack nothing. You want for nothing. Man, you wanna be in that valley so badly. Once you get to the valley, you want some protein. Egg yolk (よく) falls from the sky! It’s a miracle! You wanted protein, and egg yolk was presented. It falls right into your open mouth. This was the yolk you wanted. Feel it slosh into your mouth from the sky. Taste the yolk on your tongue before swallowing it. Mmm, egg yolk.
# | 暖 | Warm | だん ; あたた | Sun + Football | You're in the sun playing football and you get very warm. Feel how warm the sun is, as you try to throw and catch the football. It's warm like this because it's dawn (だん). That's when the sun comes up. Dang, you knew you should have played night football so it wouldn't get so warm. Now the dawn sun is making you uncomfortable under all those layers of football protection.
# | 迎 | Welcome | げい ; むか | Scooter + Cat Pirate | In its scooter, a cat pirate scoots up to welcome you! "Nya! Welcome to my ship, grab a scooter and scoot on up here, we're about to start the welcome ceremonya!" The cat pirate then launches into a speech about how they welcome all kinds of people. Especially gay (げい) people. He puts a certain emphasis on gay, so you figure that the cat pirate either thinks you're gay or wants you to be. You're really happy this cat pirate welcomes gay people aboard. Whether that's because you're gay or just because you're a baseline decent human being is up to you. Also if you aren't the kind of person who would welcome gay people onto your cat pirate ship, you should just leave nyaow.
# | 傷 | Wound | しょう ; きず, いた | Leader + Gun + Easy | If a leader has a gun it's easy to wound people. When you have a gun and a lot of responsibility it's easy to get carried away and mess up, wounding the people you were supposed to be protecting. You can even wound yourself. Picture how easy it would be for the leader of your country to wound someone if they had a gun. Scary, right? Which leader wounded the Japanese people? The Shougun (しょう). The Shougun is a military leader. The Shougun even has gun in the name. And they wounded hundreds of thousands of samurai and soldiers. Picture the Shougun you've slowly grown to know over the last thirty-ish levels. But he's holding a gun wounding everyone around him. He's screaming and shooting and wounding everyone in sight. Even his mom, even his dog, even his farmers.
# | 灰 | Ash, Ashes | はい ; かい | Cliff + Fire | On a cliff, a fire burns to ashes. The ashes then blow off the cliff, and follow the wind wherever it may go. See the light from the fire as the ashes fly off the cliff. The wind carries some of the ashes over to you. Feel the ashes as they strike your face and wipe the black ash with your hands. The ashes inspire you to write a haiku (はい). Using the ashes you write a haiku on a rock for everyone to enjoy. Ashes on my face. Falling from the cliff of fire. Gives my life meaning. Or just come up with your own haiku. Whatever works for you.
# | 装 | Attire | そう, しょう ; よそお | Icicle + Samurai + Clothes | If you see icicles hanging off of a samurai's clothes, don't worry, those are just part of his winter attire. Samurai have to travel and fight in all sorts of conditions, so it only makes sense that they have attire for every season. Picture a samurai in his winter attire. His helmet is white and fuzzy and he has decorative icicles hanging down off of his armor. Attire like this is important because it reflects your soul (そう). The samurai is wearing clothing with icicles because that's how his heart feels too: frozen over because he has to fight in this horrible winter weather. Picture the kind of attire you'd wear as a samurai to reflect your soul. Mine would be bright pink and covered in horses and bananas and daisies to show that I have a happy, kind soul and that I don't want to be killed by anyone else.
# | 著 | Author | ちょ ; いちじる, あらわ | Flowers + Someone | If someone is holding flowers, they're probably an author. Authors really love flowers, because they help them think of flowery language they can use to sound smart in their books. Imagine a time when a book you were reading used flowery language and you couldn't understand. Imagine the annoyance with the author for using words that are hard to understand. Unfortunately, the author is allergic to flowers. They are only allergic to touching them though, so the author is holding the flowers with a pair of chopsticks (ちょ), really close to their face. Using the chopsticks, they can still use the flowers to think of fancy, author-ly words without touching them. Picture the author trying to use chopsticks to move around a little flower. It looks like they're having a hard time, but people will do anything to be a great author, I suppose.
# | 裏 | Backside, Underside, Reverse | うら ; り | Lid + Village + Kick | There's a lid on your village, so you kick it over on its backside to see what's on its underside. You've been curious about what's on the lid (and your village's) backside for years, and you finally can't take it anymore so you kick the lid as hard as you can! It turns out your village's own backside is covered in uranium (うら). Eureka! You're all gonna be rich! Wait, isn't uranium bad for people? This explains why all of the villagers' backsides are covered in weird glowing, green lumps.
# | 股 | Crotch, Groin, Fork | こ ; また, もも | Moon + Weapon | You keep your moon weapon in your crotch. Where else would you keep it? Your moon weapon is a moon that you keep in your crotch. We'll let you imagine how this one works... Your crotch has a moon weapon, and it's served you well, so you hope that if you have a 子  (こ) one day, they'll have one too. Your mother had a moon weapon, and her father before her. It's been in the family for generations, and you hope to pass it on to your 子 as well.
# | 垂 | Dangle, Drip | すい ; た | Car | This car is all weird because it looks like the side is going to dangle and drip off or something. The front bumper of the car is dangling off and the sides of the car look like they could drip off at any moment. Compare this kanji to the car kanji, 車. See how the sides and top are different? Use that to remember that this car looks like it’s falling apart. See the parts dangle, and hear the drip of car fluids falling out. This car is a wreck. You see the parts as they dangle off the car and you get an idea. You could probably swing (すい) on these dangling parts. The parts can probably take some weight still before they drip off the car, so you might as well swing around on them while you still can. Imagine yourself swinging off these dangling car parts. Hear the car creak and groan as you swing around on it, causing more fluid to drip out of the car.
# | 異 | Differ | い ; こと | Rice Paddy + Together | Put a rice paddy together with other paddies and you'll see how much they differ. When you're driving or taking a train through the countryside it may seem like all of those rice paddies blurring together are all the same, but they can differ quite a bit! Try to picture how each rice paddy differs from the next. Can you think of any differences in the ones you've seen? To see how rice paddies differ, you need an eagle's (い) eye view. It can be hard to see from the ground, so soar up into the sky like an eagle and look down at the rice paddies together. Aha! As an eagle you can easily see that all of the rice paddies have differing colors, shapes, and (if you fly low) smells. They differ a lot!
# | 皇 | Emperor | こう, おう | White + King | Social commentary aside, the white king is the king that wears all white. Traditionally, this is someone better than a king. The emperor! See the emperor, garbed all in white. There are other kings, but the emperor's white clothing shows his status above the rest. Who is the emperor? It is こういち. こういち the emperor stands over his subjects. How did こういち become emperor?! His first decree as emperor is that everybody must learn kanji now. Note: from now on, Emperor こういち will be a recurring character for the reading mnemonic of こう.
# | 拡 | Extend | かく ; ひろ | Fingers + Wide | To make your fingers wide you extend them. Extend your fingers right now and see how wide you can make them. As you extend your fingers a cock (かく) comes running by and runs straight into them. Bu-COCK! You poked the cock right in the eye with your extended fingers. Maybe you shouldn't be doing that in public. Innocent cocks could get hurt.
